number,linux_name,status,dispatch_macros,dispatch_handlers,kernel_macros_at_number,legacy_alias_if_enabled,test_covered,notes
146,sched_get_priority_max,native-ok,SYS_sched_get_priority_max_x86,sys_sched_get_priority_max,SYS_sched_get_priority_max_x86,SYS_setregid(1346),no,native number is wired to matching handler
147,sched_get_priority_min,native-ok,SYS_sched_get_priority_min_x86,sys_sched_get_priority_min,SYS_sched_get_priority_min_x86,SYS_getgroups(1347),no,native number is wired to matching handler
148,sched_rr_get_interval,native-ok,SYS_sched_rr_get_interval_x86,sys_sched_rr_get_interval,SYS_sched_rr_get_interval_x86,SYS_setgroups(1348),no,native number is wired to matching handler
149,mlock,native-ok,SYS_mlock_x86,sys_mlock,SYS_mlock_x86,,yes,native number is wired to matching handler
150,munlock,native-ok,SYS_munlock_x86,sys_munlock,SYS_munlock_x86,,yes,native number is wired to matching handler
151,mlockall,native-ok,SYS_mlockall_x86,sys_mlockall,SYS_mlockall_x86,,yes,native number is wired to matching handler
152,munlockall,native-ok,SYS_munlockall_x86,sys_munlockall,SYS_munlockall_x86,,yes,native number is wired to matching handler
153,vhangup,native-ok,SYS_vhangup_x86,sys_vhangup,SYS_vhangup_x86,,no,native number is wired to matching handler
154,modify_ldt,native-ok,SYS_modify_ldt_x86,sys_modify_ldt,SYS_modify_ldt_x86,,no,native number is wired to matching handler
155,pivot_root,native-ok,SYS_pivot_root_x86,sys_pivot_root,SYS_pivot_root_x86,,no,native number is wired to matching handler
156,_sysctl,native-ok,SYS__sysctl_x86,sys__sysctl,SYS__sysctl_x86,,no,native number is wired to matching handler
157,prctl,native-ok,SYS_prctl_x86,sys_prctl,SYS_prctl_x86,,yes,native number is wired to matching handler
158,arch_prctl,struct-risk,SYS_arch_prctl,sys_arch_prctl,SYS_arch_prctl,,no,native number is wired; audit structs/flags/semantics
159,adjtimex,native-ok,SYS_adjtimex_x86,sys_adjtimex,SYS_adjtimex_x86,,no,native number is wired to matching handler
160,setrlimit,struct-risk,SYS_setrlimit_x86,sys_setrlimit,SYS_setrlimit_x86,,no,native number is wired; audit structs/flags/semantics
161,chroot,native-ok,SYS_chroot_x86,sys_chroot,SYS_chroot_x86,,no,native number is wired to matching handler
162,sync,native-ok,SYS_sync_x86,sys_sync,SYS_sync_x86,,yes,native number is wired to matching handler
163,acct,native-ok,SYS_acct_x86,sys_acct,SYS_acct_x86,,no,native number is wired to matching handler
164,settimeofday,native-ok,SYS_settimeofday_x86,sys_settimeofday,SYS_settimeofday_x86,,no,native number is wired to matching handler
165,mount,native-ok,SYS_mount_x86,sys_mount,SYS_mount_x86,,no,native number is wired to matching handler
166,umount2,native-ok,SYS_umount2_x86,sys_umount,SYS_umount2_x86,,no,native number is wired to matching handler
167,swapon,native-ok,SYS_swapon_x86,sys_swapon,SYS_prctl_generic;SYS_swapon_x86,,yes,native number is wired to matching handler
168,swapoff,native-ok,SYS_swapoff_x86,sys_swapoff,SYS_swapoff_x86,,no,native number is wired to matching handler
169,reboot,native-ok,SYS_reboot_x86,sys_reboot,SYS_gettimeofday_generic;SYS_reboot_x86,,yes,native number is wired to matching handler
170,sethostname,native-ok,SYS_sethostname_x86,sys_sethostname,SYS_sethostname_x86,,no,native number is wired to matching handler
171,setdomainname,native-ok,SYS_setdomainname_x86,sys_setdomainname,SYS_setdomainname_x86,,no,native number is wired to matching handler
172,iopl,native-ok,SYS_iopl_x86,sys_iopl,SYS_iopl_x86,,no,native number is wired to matching handler
173,ioperm,native-ok,SYS_ioperm_x86,sys_ioperm,SYS_ioperm_x86,,no,native number is wired to matching handler
174,create_module,native-ok,SYS_create_module_x86,sys_create_module,SYS_create_module_x86,,no,native number is wired to matching handler
175,init_module,native-ok,SYS_init_module_x86,sys_init_module,SYS_init_module_x86,,no,native number is wired to matching handler
176,delete_module,native-ok,SYS_delete_module_x86,sys_delete_module,SYS_delete_module_x86,,no,native number is wired to matching handler
177,get_kernel_syms,native-ok,SYS_get_kernel_syms_x86,sys_get_kernel_syms,SYS_get_kernel_syms_x86,,no,native number is wired to matching handler
